Name,Fan RPM (RPM),Noise Level (dB),Radiator Size (mm),Price
Cooler Master Hyper 212 Black Edition,800 - 2000 ,6.5 - 26 ,,39.99
Cooler Master MASTERLIQUID ML240L RGB V2,650 - 1800 ,6 - 27 ,240,99.99
be quiet! Dark Rock Pro 4,1500,12.8 - 24.3 ,,89.90
Thermalright Peerless Assassin 120 SE,1550,25.6,,34.90
Corsair iCUE H150i ELITE CAPELLIX XT,550 - 2100 ,5 - 34.1 ,360,177.99
Noctua NH-D15 chromax.black,300 - 1500 ,19.2 - 24.6 ,,119.95
NZXT Kraken Elite 360 RGB,500 - 1800 ,17.9 - 30.6 ,360,287.57
NZXT Kraken 240,500 - 1800 ,17.9 - 30.6 ,240,134.99
ARCTIC Liquid Freezer II 360,800 - 2000 ,,360,114.99
Deepcool AG400 BK ARGB,500 - 2000 ,31.6,,29.99
Deepcool AK400,500 - 1850 ,29,,34.99
Corsair iCUE H100i RGB ELITE,400 - 1850 ,5 - 28.9 ,240,119.99
Noctua NH-D15,300 - 1500 ,19.2 - 24.6 ,,109.95
Corsair iCUE H150i ELITE LCD XT,550 - 2100 ,5 - 34.1 ,360,279.99
ARCTIC Liquid Freezer II 240,200 - 1800 ,,240,91.05
NZXT Kraken Elite 360 RGB,500 - 1800 ,17.9 - 30.6 ,360,287.99
Noctua NH-U12S chromax.black,300 - 1500 ,18.6 - 22.4 ,,89.95
NZXT Kraken 240 RGB,500 - 1800 ,17.9 - 30.6 ,240,179.84
Deepcool AK620,500 - 1850 ,28,,59.99
Cooler Master Hyper 212 RGB Black Edition,650 - 2000 ,8 - 30 ,,53.25
Thermalright Peerless Assassin 120 SE WHITE ARGB,1550,25.6,,36.90
Thermalright Phantom Spirit 120 SE,1500,25.6,,37.90
Thermalright Assassin X 120 Refined SE,1550,25.6,,17.89
be quiet! Pure Rock 2 Black,1500,19.1 - 26.8 ,,44.90
Deepcool LT720,500 - 2250 ,32.9,360,137.68
NZXT Kraken 360,500 - 1800 ,17.9 - 30.6 ,360,169.99
Deepcool LS520 SE,500 - 2250 ,28.2 - 32.9 ,240,89.99
Deepcool AK620 ZERO DARK,500 - 1850 ,28,,65.98
NZXT Kraken X73,500 - 2000 ,21 - 36 ,360,139.99
Lian Li Galahad II Trinity SL-INF,2100,29,360,174.99
Corsair iCUE H150i ELITE CAPELLIX XT,550 - 2100 ,,360,205.99
Corsair iCUE H100i ELITE CAPELLIX XT,550 - 2100 ,5 - 34.1 ,240,154.99
Noctua NH-U12A chromax.black,450 - 2000 ,18.8 - 22.6 ,,129.94
Deepcool LS720,500 - 2250 ,32.9,360,99.99
ARCTIC Liquid Freezer II 280,200 - 1700 ,,280,103.99
ID-COOLING FROSTFLOW X,700 - 1800 ,18 - 35.2 ,240,54.99
Lian Li Galahad II Trinity SL-INF,2100,29,360,161.80
ID-COOLING SE-214-XT,500 - 1500 ,13.8 - 30.5 ,,18.98
Thermalright Phantom Spirit 120 SE ARGB,1500,25.6,,39.00
Thermalright Frozen Notte ARGB,2000,27.7,240,53.00
NZXT Kraken Elite 360,500 - 1800 ,17.9 - 30.6 ,360,269.99
ARCTIC Liquid Freezer II 360 A-RGB,200 - 1800 ,22.5,360,134.99
Deepcool AK620,500 - 1850 ,28,,59.99
Deepcool LS720 SE,500 - 2250 ,28.2 - 32.9 ,360,99.99
NZXT Kraken 360 RGB,500 - 1800 ,17.9 - 30.6 ,360,214.99
Deepcool AK400,500 - 1850 ,29,,31.99
Thermalright Assassin X Refined SE ARGB,1550,25.6,,18.89
Asus ROG Ryujin III ARGB,600 - 2200 ,36.45,360,349.99
ARCTIC Liquid Freezer II 420,200 - 1700 ,,420,129.99
be quiet! Pure Rock Slim 2,,13.1 - 25.4 ,,26.90
Noctua NH-L9i,600 - 2500 ,14.8 - 23.6 ,,44.95
Noctua NH-L9i chromax.black,600 - 2500 ,14.8 - 23.6 ,,54.95
Deepcool LT520,500 - 2250 ,32.9,240,94.99
Corsair iCUE H100i ELITE CAPELLIX XT,550 - 2100 ,5 - 34.1 ,240,164.99
Noctua NH-L12S,450 - 1850 ,16.8 - 23.9 ,,59.95
Cooler Master MASTERLIQUID ML120L RGB V2,650 - 1800 ,6 - 27 ,120,79.98
MSI MAG CORELIQUID 240R V2,500 - 2000 ,14.3 - 34.3 ,240,99.99
NZXT Kraken 240 RGB,500 - 1800 ,17.9 - 30.6 ,240,179.99
Asus ROG RYUJIN II ARGB,,,360,586.97
Corsair iCUE H150i ELITE LCD XT,550 - 2100 ,5 - 31.1 ,360,249.89
Thermalright Assassin King SE ARGB,1550,25.6,,22.90
Scythe Fuma 3,200 - 1500 ,4 - 28.6 ,,49.99
be quiet! Dark Rock 4,1400,,,74.90
Deepcool AK620 DIGITAL,500 - 1850 ,28,,79.98
Corsair iCUE H150i RGB ELITE,400 - 1850 ,19 - 35.8 ,360,154.99
NZXT Kraken Z73 RGB,500 - 1500 ,22 - 33 ,360,440.81
Deepcool AK400 ZERO DARK,500 - 1850 ,29,,39.99
Deepcool AK500 ZERO DARK,500 - 1850 ,25.9 - 31.5 ,,44.98
MSI MAG CORELIQUID 360R V2,500 - 2000 ,14.3 - 34.3 ,360,105.96
NZXT Kraken Z63,500 - 1800 ,21 - 38 ,280,254.99
Deepcool LT720 WH,500 - 2250 ,32.9,360,111.99
Noctua NH-U9S chromax.black,400 - 2000 ,16.3 - 22.8 ,,69.95
ID-COOLING SE-214-XT,500 - 1500 ,13.8 - 30.5 ,,17.98
NZXT Kraken 280,500 - 1500 ,19.4 - 32.1 ,280,139.99
NZXT Kraken Z73 RGB,500 - 1500 ,22 - 33 ,360,500.75
EK Nucleus AIO CR240 Dark,550 - 2300 ,36,240,119.99
Noctua NH-D15S chromax.black,300 - 1500 ,19.2 - 24.6 ,,109.95
Cooler Master MasterLiquid ML360L ARGB V2,650 - 1800 ,8 - 27 ,360,109.99
Corsair iCUE LINK H150i RGB,480 - 2400 ,,360,239.99
Corsair iCUE H170i ELITE LCD XT,500 - 1700 ,5 - 33.8 ,420,299.99
Deepcool AG400,500 - 2000 ,31.6,,21.99
ARCTIC Freezer 34 eSports DUO,200 - 2100 ,24.4,,43.49
Deepcool LS520 SE WH,500 - 2250 ,28.2 - 32.9 ,240,80.98
Thermalright Frozen Notte ARGB,2000,27.7,360,69.90
Noctua NH-D9L,400 - 2000 ,16.3 - 22.8 ,,54.95
Deepcool AK400 DIGITAL,500 - 1850 ,28,,49.99
Noctua NH-U9S,400 - 2000 ,16.3 - 22.8 ,,59.95
NZXT T120 RGB,500 - 1800 ,17.2 - 27.5 ,,39.99
Deepcool LS720 SE WH,500 - 2250 ,28.2 - 32.9 ,360,100.98
Noctua NH-L9a-AM4,600 - 2500 ,14.8 - 23.6 ,,44.95
Noctua NH-L9A-AM5 CHROMAX.BLACK,600 - 2500 ,14.8 - 23.6 ,,54.95
NZXT Kraken 360 RGB,500 - 1800 ,17.9 - 30.6 ,360,208.99
Cooler Master MasterLiquid ML240L ARGB V2,650 - 1800 ,8 - 27 ,240,79.99
EK Nucleus AIO CR360 Dark,550 - 2300 ,36,360,149.99
Deepcool ASSASSIN IV,500 - 1700 ,22.6 - 29.3 ,,99.99
Lian Li Galahad II Trinity Performance,2300 - 3000 ,32.1 - 39.9 ,360,274.02
NZXT Kraken Elite 240 RGB,500 - 1800 ,17.9 - 30.6 ,240,251.72
MSI MAG CORELIQUID P240,500 - 2000 ,14.3 - 34.3 ,240,79.98
ID-COOLING IS-55 Black,500 - 2000 ,31.2,,39.99
Thermalright Peerless Assassin 120 White,1550,25.6,,44.90
