Name,Core Count,Performance Core Clock (GHz),Performance Boost Clock (GHz),TDP (W),Integrated Graphics,SMT,Socket,Price
Intel Core i9-13900KS,24,3,6,150,Intel UHD Graphics 770,TRUE,LGA1700,699.99
Intel Core i9-14900K,24,3.2,6,125,Intel UHD Graphics 770,TRUE,LGA1700,591.00
Intel Core i9-14900KF,24,3.2,6,125,None,TRUE,LGA1700,559.44
Intel Core i9-13900K,24,3,5.8,125,Intel UHD Graphics 770,TRUE,LGA1700,546.99
Intel Core i9-13900,24,2,5.6,65,Intel UHD Graphics 770,TRUE,LGA1700,541.36
Intel Core i9-13900KF,24,3,5.8,125,None,TRUE,LGA1700,531.99
Intel Core i9-13900F,24,2,5.6,65,None,TRUE,LGA1700,499.00
Intel Core i9-12900KS,16,3.4,5.5,150,Intel UHD Graphics 770,TRUE,LGA1700,458.99
Intel Core i9-12900,16,2.4,5.1,65,Intel UHD Graphics 770,TRUE,LGA1700,439.99
Intel Core i9-12900F,16,2.4,5.1,65,None,TRUE,LGA1700,429.98
Intel Core i7-14700K,20,3.4,5.6,125,Intel UHD Graphics 770,TRUE,LGA1700,418.00
Intel Core i7-14700KF,20,3.4,5.6,125,None,TRUE,LGA1700,393.00
Intel Core i7-13700K,16,3.4,5.4,125,Intel UHD Graphics 770,TRUE,LGA1700,391.54
Intel Core i7-13700,16,2.1,5.2,65,Intel UHD Graphics 770,TRUE,LGA1700,387.99
Intel Core i9-12900K,16,3.2,5.2,125,Intel UHD Graphics 770,TRUE,LGA1700,381.90
Intel Core i7-13700KF,16,3.4,5.4,125,None,TRUE,LGA1700,379.99
Intel Core i9-12900KF,16,3.2,5.2,125,None,TRUE,LGA1700,375.99
Intel Core i7-13700F,16,2.1,5.2,65,None,TRUE,LGA1700,359.99
Intel Core i5-14600K,14,3.5,5.3,125,Intel UHD Graphics 770,TRUE,LGA1700,328.00
Intel Core i5-13600K,14,3.5,5.1,125,Intel UHD Graphics 770,TRUE,LGA1700,307.99
Intel Core i5-14600KF,14,3.5,5.3,125,None,TRUE,LGA1700,304.00
Intel Core i7-12700,12,2.1,4.9,65,Intel UHD Graphics 770,TRUE,LGA1700,304.00
Intel Core i7-12700K,12,3.6,5,125,Intel UHD Graphics 770,TRUE,LGA1700,292.60
Intel Core i7-12700F,12,2.1,4.9,65,None,TRUE,LGA1700,289.98
Intel Core i5-13600KF,14,3.5,5.1,125,None,TRUE,LGA1700,285.98
Intel Core i7-12700KF,12,3.6,5,125,None,TRUE,LGA1700,258.00
Intel Core i5-12500,6,3,4.6,65,Intel UHD Graphics 770,TRUE,LGA1700,242.99
Intel Core i5-12600,6,3.3,4.8,65,Intel UHD Graphics 770,TRUE,LGA1700,239.99
Intel Core i5-13500,14,2.5,4.8,65,Intel UHD Graphics 770,TRUE,LGA1700,237.99
Intel Core i5-12600K,10,3.7,4.9,125,Intel UHD Graphics 770,TRUE,LGA1700,227.99
Intel Core i5-13400,10,2.5,4.6,65,Intel UHD Graphics 730,TRUE,LGA1700,206.99
Intel Core i5-13400F,10,2.5,4.6,65,None,TRUE,LGA1700,201.54
Intel Core i5-12600KF,10,3.7,4.9,125,None,TRUE,LGA1700,193.99
