Name,Socket / CPU,Form Factor,Memory Max (GB),Memory Slots,DDR,Price
Asus PRIME A620-PLUS WIFI,AM5,ATX,192,4,DDR5,139.99
ASRock B650 LiveMixer,AM5,ATX,192,4,DDR5,149.99
MSI PRO B650-P WIFI,AM5,ATX,192,4,DDR5,174.00
MSI B650 GAMING PLUS WIFI,AM5,ATX,192,4,DDR5,179.99
Asus PRIME B650-PLUS,AM5,ATX,192,4,DDR5,187.07
Gigabyte B650 AORUS ELITE AX,AM5,ATX,192,4,DDR5,189.99
Gigabyte B650 GAMING X AX,AM5,ATX,192,4,DDR5,189.99
ASRock B650 PG LIGHTNING,AM5,ATX,192,4,DDR5,193.99
MSI PRO X670-P WIFI,AM5,ATX,192,4,DDR5,198.99
Asus ROG STRIX B650-A GAMING WIFI,AM5,ATX,192,4,DDR5,199.99
Asus TUF GAMING B650-PLUS WIFI,AM5,ATX,128,4,DDR5,214.99
MSI MAG B650 TOMAHAWK WIFI,AM5,ATX,192,4,DDR5,219.95
ASRock X670E PG Lightning,AM5,ATX,192,4,DDR5,229.99
Asus PROART B650-CREATOR,AM5,ATX,128,4,DDR5,229.99
Asus PRIME X670-P,AM5,ATX,192,4,DDR5,239.99
MSI MPG B650 EDGE WIFI,AM5,ATX,192,4,DDR5,239.99
Gigabyte X670 AORUS ELITE AX (rev. 1.0),AM5,ATX,192,4,DDR5,247.99
Gigabyte B650 AORUS PRO AX,AM5,ATX,192,4,DDR5,249.99
MSI MAG X670E TOMAHAWK WIFI,AM5,ATX,192,4,DDR5,259.99
ASRock X670E Steel Legend,AM5,ATX,192,4,DDR5,259.99
Gigabyte B650 AERO G,AM5,ATX,192,4,DDR5,259.99
Asus ROG STRIX B650E-F GAMING WIFI,AM5,ATX,192,4,DDR5,262.43
ASRock B650 PRO RS,AM5,ATX,192,4,DDR5,262.71
Asus PRIME X670-P WIFI,AM5,ATX,192,4,DDR5,264.99
ASRock B650E STEEL LEGEND WIFI,AM5,ATX,192,4,DDR5,267.99
ASRock X670E Pro RS,AM5,ATX,192,4,DDR5,270.99
NZXT N7 B650E,AM5,ATX,128,4,DDR5,279.99
NZXT N7 B650E,AM5,ATX,128,4,DDR5,279.99
Asus TUF GAMING X670E-PLUS WIFI,AM5,ATX,192,4,DDR5,301.20
MSI MPG B650 CARBON WIFI,AM5,ATX,192,4,DDR5,311.47
Asus PRIME X670E-PRO WIFI,AM5,ATX,192,4,DDR5,334.99
Asus ROG STRIX B650E-E GAMING WIFI,AM5,ATX,192,4,DDR5,336.99
Asus TUF GAMING X670E-PLUS,AM5,ATX,192,4,DDR5,349.61
Gigabyte X670 GAMING X AX (rev. 1.0),AM5,ATX,192,4,DDR5,359.18
Asus ROG STRIX X670E-A GAMING WIFI,AM5,ATX,192,4,DDR5,376.99
Asus ROG STRIX X670E-F GAMING WIFI,AM5,ATX,192,4,DDR5,417.99
MSI MPG X670E CARBON WIFI,AM5,ATX,192,4,DDR5,439.99
Asus ProArt X670E-CREATOR WIFI,AM5,ATX,192,4,DDR5,459.99
Asus ROG STRIX X670E-E GAMING WIFI,AM5,ATX,192,4,DDR5,469.99
Gigabyte B650E AORUS MASTER,AM5,ATX,128,4,DDR5,485.49
MSI PRO A620M-E,AM5,Micro ATX,96,2,DDR5,74.98
Gigabyte A620M S2H,AM5,Micro ATX,96,2,DDR5,89.99
Gigabyte A620M GAMING X,AM5,Micro ATX,192,4,DDR5,109.99
ASRock A620M-HDV/M.2+,AM5,Micro ATX,96,2,DDR5,109.99
MSI PRO B650M-P,AM5,Micro ATX,192,4,DDR5,119.99
Gigabyte B650M K,AM5,Micro ATX,192,4,DDR5,119.99
ASRock B650M Pro RS WiFi,AM5,Micro ATX,192,4,DDR5,124.99
ASRock B650M-HDV/M.2,AM5,Micro ATX,96,2,DDR5,124.99
ASRock A620M Pro RS WiFi,AM5,Micro ATX,192,4,DDR5,124.99
Gigabyte B650M D3HP,AM5,Micro ATX,192,4,DDR5,127.99
Gigabyte A620M C,AM5,Micro ATX,192,4,DDR5,129.99
Asus PRIME A620M-A-CSM,AM5,Micro ATX,192,4,DDR5,129.99
MSI PRO B650M-A WIFI,AM5,Micro ATX,192,4,DDR5,129.99
ASRock B650M Pro RS,AM5,Micro ATX,192,4,DDR5,139.99
Gigabyte B650M C,AM5,Micro ATX,192,4,DDR5,139.99
ASRock A620M Pro RS,AM5,Micro ATX,192,4,DDR5,143.02
Gigabyte B650M DS3H,AM5,Micro ATX,192,4,DDR5,144.99
Asus TUF GAMING A620M-PLUS WIFI,AM5,Micro ATX,192,4,DDR5,149.99
Gigabyte B650M C V2,AM5,Micro ATX,192,4,DDR5,152.98
Asus Pro B650M-CT-CSM,AM5,Micro ATX,192,4,DDR5,153.59
Asus PRIME B650M-A-CSM,AM5,Micro ATX,128,4,DDR5,154.99
Asus PRIME B650M-A AX II,AM5,Micro ATX,192,4,DDR5,160.33
Asus PRIME B650M-A II-CSM,AM5,Micro ATX,192,4,DDR5,166.55
ASRock B650M PG RIPTIDE WIFI,AM5,Micro ATX,192,4,DDR5,169.99
ASRock B650M PG RIPTIDE,AM5,Micro ATX,192,4,DDR5,169.99
Gigabyte B650M AORUS ELITE AX,AM5,Micro ATX,192,4,DDR5,189.99
Asus TUF GAMING B650M-PLUS WIFI,AM5,Micro ATX,192,4,DDR5,194.99
Gigabyte B650M S2H,AM5,Micro ATX,96,2,DDR5,199.00
Asus PRIME B650M-A AX,AM5,Micro ATX,128,4,DDR5,199.00
MSI MAG B650M MORTAR WIFI,AM5,Micro ATX,192,4,DDR5,199.95
Gigabyte A620M GAMING X AX,AM5,Micro ATX,192,4,DDR5,206.11
Asus PRIME B650M-A WIFI II,AM5,Micro ATX,192,4,DDR5,295.99
Asus ROG CROSSHAIR X670E GENE,AM5,Micro ATX,96,2,DDR5,507.67
Gigabyte A620I AX,AM5,Mini ITX,96,2,DDR5,139.99
ASRock A620I LIGHTNING WIFI,AM5,Mini ITX,96,2,DDR5,140.98
ASRock B650I Lightning Wifi,AM5,Mini ITX,96,2,DDR5,199.99
Gigabyte B650I AORUS ULTRA,AM5,Mini ITX,96,2,DDR5,259.99
MSI MPG B650I EDGE WIFI,AM5,Mini ITX,96,2,DDR5,269.99
