Name,Type,Efficiency Rating,Wattage (W),Modular,Price
Corsair RM750e (2023),ATX,80+ Gold,750,Full,96.99
Corsair RM850x (2021),ATX,80+ Gold,850,Full,129.99
Corsair RM850e (2023),ATX,80+ Gold,850,Full,114.99
Corsair RM1000x (2021),ATX,80+ Gold,1000,Full,169.99
Corsair RM1000e (2023),ATX,80+ Gold,1000,Full,154.99
Corsair CX650M (2021),ATX,80+ Bronze,650,Semi,79.99
Thermaltake Toughpower GX2,ATX,80+ Gold,600,No,64.98
Thermaltake Smart,ATX,80+,500,No,39.95
Corsair HX1200 Platinum,ATX,80+ Platinum,1200,Full,361.99
Cooler Master MWE Gold 850 - V2,ATX,80+ Gold,850,Full,95.99
Corsair RM850,ATX,80+ Gold,850,Full,139.99
SeaSonic FOCUS Plus 650 Gold,ATX,80+ Gold,650,Full,128.99
Thermaltake Smart,ATX,80+,600,No,44.99
Asus ROG THOR 1600T Gaming,ATX,80+ Titanium,1600,Full,699.99
Corsair RM750x (2021),ATX,80+ Gold,750,Full,109.99
Gigabyte UD750GM,ATX,80+ Gold,750,Full,94.99
MSI MPG A650GF,ATX,80+ Gold,650,Full,89.99
Apevia Prestige,ATX,80+ Gold,600,No,51.99
EVGA 600 GD,ATX,80+ Gold,600,No,90.49
Corsair CX750M (2021),ATX,80+ Bronze,750,Semi,79.98
SeaSonic FOCUS GX,ATX,80+ Gold,750,Full,94.99
EVGA SuperNOVA 1000 GT,ATX,80+ Gold,1000,Full,149.99
Thermaltake Toughpower GF1 PE,ATX,80+ Gold,850,Full,107.72
Corsair AX1600i,ATX,80+ Titanium,1600,Full,609.99
MSI MAG A550BN,ATX,80+ Bronze,550,No,58.68
MSI MAG A650BN,ATX,80+ Bronze,650,No,59.99
MSI A1000G PCIE5,ATX,80+ Gold,1000,Full,159.99
MSI MPG A850G PCIE5,ATX,80+ Gold,850,Full,129.99
EVGA 500 W1,ATX,80+,500,No,49.00
Corsair RM750,ATX,80+ Gold,750,Full,129.99
Cooler Master MWE GOLD 750 V2 FULL MODULAR,ATX,80+ Gold,750,Full,124.39
SeaSonic PRIME TX-1000,ATX,80+ Titanium,1000,Full,269.99
Apevia Galaxy,ATX,80+ Gold,650,Semi,54.99
Asus ROG Strix,ATX,80+ Gold,850,Full,146.15
Gigabyte UD850GM,ATX,80+ Gold,850,Full,114.99
SeaSonic FOCUS Plus 750 Gold,ATX,80+ Gold,750,Full,94.99
Thermaltake Smart,ATX,80+,700,No,54.95
EVGA SuperNOVA 650 GT,ATX,80+ Gold,650,Full,89.99
EVGA SuperNOVA 850 GT,ATX,80+ Gold,850,Full,124.99
Asus ROG STRIX G,ATX,80+ Gold,1000,Full,177.61
Corsair HX1500i (2022),ATX,80+ Platinum,1500,Full,239.99
MSI MAG A750GL PCIE5,ATX,80+ Gold,750,Full,99.99
be quiet! Pure Power 12 M,ATX,80+ Gold,750,Full,109.90
SeaSonic FOCUS PLUS 850 Gold,ATX,80+ Gold,850,Full,109.99
Corsair HX1000i (2023),ATX,80+ Platinum,1000,Full,239.99
Thermaltake Toughpower GF A3 - TT Premium Edition,ATX,80+ Gold,750,Full,94.99
EVGA SuperNOVA 750 GT,ATX,80+ Gold,750,Full,119.99
Corsair HX850,ATX,80+ Platinum,850,Full,124.99
Corsair VS600 (2020),ATX,80+ Bronze,600,No,59.99
be quiet! Pure Power 12 M,ATX,80+ Gold,1000,Full,164.90
Thermaltake Toughpower Grand RGB,ATX,80+ Gold,750,Full,144.98
Gigabyte UD1000GM,ATX,80+ Gold,1000,Full,129.99
SeaSonic FOCUS GX,ATX,80+ Gold,650,Full,135.46
NZXT C850 (2022),ATX,80+ Gold,850,Full,117.02
be quiet! Dark Power 13,ATX,80+ Titanium,1000,Full,259.89
Thermaltake Toughpower GF1 - TT Premium,ATX,80+ Gold,650,Full,84.99
MSI MEG Ai1300P PCIE5,ATX,80+ Platinum,1300,Full,289.99
Apevia Prestige,ATX,80+ Gold,800,No,66.98
EVGA 500 GD,ATX,80+ Gold,500,No,74.99
be quiet! Pure Power 12 M,ATX,80+ Gold,850,Full,109.90
MSI MPG A750GF,ATX,80+ Gold,750,Full,109.99
SeaSonic FOCUS GX,ATX,80+ Gold,850,Full,109.99
Phanteks AMP v2,ATX,80+ Gold,1000,Full,159.98
Thermaltake Toughpower GF1 Snow - TT Premium,ATX,80+ Gold,750,Full,99.99
EVGA 500 BR,ATX,80+ Bronze,500,No,66.47
EVGA 600 W1,ATX,80+,600,No,62.68
Thermaltake Toughpower GF1 Snow - TT Premium,ATX,80+ Gold,850,Full,109.99
EVGA 700 BR,ATX,80+ Bronze,700,No,74.98
Gigabyte P450B,ATX,80+ Bronze,450,No,82.23
Asus ROG THOR P2 Gaming,ATX,80+ Platinum,1200,Full,329.99
NZXT C750 (2022),ATX,80+ Gold,750,Full,109.99
Corsair RM650x (2021),ATX,80+ Gold,650,Full,129.99
EVGA 700 GD,ATX,80+ Gold,700,No,84.91
Rosewill HIVE,ATX,80+ Bronze,750,Semi,77.98
MSI MAG A850GL PCIE5,ATX,80+ Gold,850,Full,109.99
Corsair HX1500i (2023),ATX,80+ Platinum,1500,Full,365.99
NZXT C1000 (2022),ATX,80+ Gold,1000,Full,154.99
Corsair RM750 (2019),ATX,80+ Gold,750,Full,214.99
ADATA XPG CORE Reactor 850,ATX,80+ Gold,850,Full,104.99
be quiet! System Power 10,ATX,80+ Bronze,450,No,117.90
Corsair RMe (2023),ATX,80+ Gold,1200,Full,159.99
SeaSonic S12III,ATX,80+ Bronze,500,No,65.44
be quiet! Pure Power 12 M,ATX,80+ Gold,650,Full,104.90
Thermaltake Toughpower,ATX,80+ Gold,750,Semi,98.86
Asus ROG THOR P2 Gaming,ATX,80+ Platinum,1000,Full,278.02
EVGA 600 BR,ATX,80+ Bronze,600,No,69.99
Super Flower Legion GX Pro,ATX,80+ Gold,750,Semi,74.99
Cooler Master MasterWatt 550,ATX,80+ Bronze,550,Semi,70.73
be quiet! Dark Power Pro 13,ATX,80+ Titanium,1600,Full,429.90
Asus TUF Gaming 1000G,ATX,80+ Gold,1000,Full,166.68
be quiet! System Power 10,ATX,80+ Bronze,650,No,92.60
NZXT C1200,ATX,80+ Gold,1200,Full,209.99
Cooler Master V550 V2,ATX,80+ Gold,550,Full,125.99
Thermaltake Toughpower GF3 TT Premium,ATX,80+ Gold,1000,Full,139.99
MSI MPG A850GF,ATX,80+ Gold,850,Full,165.00
Apevia Premier,ATX,80+ Gold,650,Semi,59.99
Super Flower Leadex Titanium,ATX,80+ Titanium,1600,Full,299.99
Corsair SF750,SFX,80+ Platinum,750,Full,163.49
Cooler Master V850 SFX GOLD,SFX,80+ Gold,850,Full,139.99
Corsair SF1000L,SFX,80+ Gold,1000,Full,179.99
Cooler Master V750 SFX GOLD,SFX,80+ Gold,750,Full,119.98
Lian Li SP850,SFX,80+ Gold,850,Full,131.19
Cooler Master V850 SFX GOLD,SFX,80+ Gold,850,Full,124.44
EVGA SuperNOVA 650 GM,SFX,80+ Gold,650,Full,116.00
Corsair SF850L,SFX,80+ Gold,850,Full,149.99
Lian Li SP,SFX,80+ Gold,750,Full,110.00
Phanteks Revolt SFX,SFX,80+ Gold,650,Full,99.99
Asus ROG LOKI,SFX,80+ Platinum,1000,Full,229.99
Corsair SF600,SFX,80+ Platinum,600,Full,289.00
EVGA SuperNOVA 750 GM,SFX,80+ Gold,750,Full,134.99
Lian Li SP850,SFX,80+ Gold,850,Full,132.99
Cooler Master V SFX Platinum,SFX,80+ Platinum,1100,Full,249.99
Silverstone SFX,SFX,80+ Gold,500,Full,110.88
Silverstone SFX,SFX,80+ Titanium,800,Full,209.99
EVGA SuperNOVA 850 GM,SFX,80+ Gold,850,Full,151.99
be quiet! SFX L Power,SFX,80+ Gold,600,Full,128.58
Asus ROG LOKI,SFX,80+ Platinum,850,Full,199.99
Silverstone SX1000-LPT,SFX,80+ Platinum,1000,Full,264.82
be quiet! SFX L Power,SFX,80+ Gold,500,Full,133.38
EVGA SuperNOVA 550 GM,SFX,80+ Gold,550,Full,139.99
Phanteks Revolt SFX,SFX,80+ Platinum,850,Full,169.99
be quiet! SFX Power 3 450,SFX,80+ Bronze,450,No,95.69
Silverstone SX500-G,SFX,80+ Gold,500,Full,101.03
Cooler Master V750 SFX GOLD,SFX,80+ Gold,750,Full,178.99
SeaSonic FOCUS SGX (2021),SFX,80+ Gold,750,Full,169.99
Silverstone SFX,SFX,80+ Bronze,300,No,73.98
Silverstone Extreme 850R Platinum,SFX,80+ Platinum,850,Full,223.13
Asus ROG LOKI,SFX,80+ Platinum,750,Full,269.08
Silverstone SX700-PT,SFX,80+ Platinum,700,Full,163.04
Cooler Master V SFX Gold ATX 3.0,SFX,80+ Gold,850,Full,163.99
SeaSonic FOCUS SPX (2021),SFX,80+ Platinum,750,Full,194.99
Thermaltake Toughpower SFX,SFX,80+ Gold,850,Full,179.99
FSP Group Dagger Pro,SFX,80+ Gold,650,Full,135.99
Corsair SF450,SFX,80+ Gold,450,Full,228.00
Thermaltake Toughpower SFX,SFX,80+ Gold,750,Full,137.99
Silverstone SFX,SFX,80+ Bronze,450,No,91.15
Thermaltake Toughpower SFX,SFX,80+ Gold,1000,Full,204.98
FSP Group Dagger Pro,SFX,80+ Gold,750,Full,149.99
Thermaltake Toughpower SFX 600W Gold,SFX,80+ Gold,600,Full,152.41
