Name,Speed,Modules,Price / GB,DDR,Price
Corsair Vengeance LPX 8 GB,2400,1 x 8GB,3.124,DDR4,24.99
Kingston FURY Beast 8 GB,3200,1 x 8GB,3.519,DDR4,28.15
Crucial CT8G4DFS824A 8 GB,2400,1 x 8GB,1.874,DDR4,14.99
Crucial CT8G4DFRA32A 8 GB,3200,1 x 8GB,2.123,DDR4,16.98
Patriot Viper Steel 8 GB,3200,1 x 8GB,2.624,DDR4,20.99
G.Skill Ripjaws V 8 GB,2400,1 x 8GB,8.748,DDR4,69.98
Corsair Vengeance LPX 8 GB,3200,1 x 8GB,3.124,DDR4,24.99
Patriot Signature Line 8 GB,3200,1 x 8GB,2.123,DDR4,16.98
Patriot Viper Elite II 8 GB,3200,1 x 8GB,2.373,DDR4,18.98
Kingston ValueRAM 8 GB,2666,1 x 8GB,3.046,DDR4,24.37
G.Skill Aegis 8 GB,3000,1 x 8GB,2.749,DDR4,21.99
G.Skill Aegis 8 GB,3200,1 x 8GB,3.124,DDR4,24.99
Corsair Vengeance LPX 8 GB,3000,1 x 8GB,3.124,DDR4,24.99
Patriot Signature Premium 8 GB,2666,1 x 8GB,2.123,DDR4,16.98
Corsair Vengeance LPX 8 GB,2666,1 x 8GB,3.124,DDR4,24.99
Samsung Green 8 GB,2133,1 x 8GB,2.205,DDR4,17.64
Kingston FURY Beast RGB 8 GB,3200,1 x 8GB,4.106,DDR4,32.85
Patriot Viper Steel 8 GB,3000,1 x 8GB,2.498,DDR4,19.98
Patriot Signature Line 8 GB,2666,1 x 8GB,1.999,DDR4,15.99
Corsair Vengeance LPX 8 GB,2400,1 x 8GB,2.498,DDR4,19.98
Corsair Vengeance RGB Pro 8 GB,3200,1 x 8GB,3.749,DDR4,29.99
Patriot Viper Elite II 8 GB,3600,1 x 8GB,2.373,DDR4,18.98
TEAMGROUP Elite 8 GB,2666,1 x 8GB,2.248,DDR4,17.98
Kingston FURY Beast 8 GB,3600,1 x 8GB,3.511,DDR4,28.09
Patriot Viper Elite II 8 GB,2666,1 x 8GB,2.123,DDR4,16.98
TEAMGROUP Elite 8 GB,3200,1 x 8GB,2.615,DDR4,20.92
Corsair Vengeance LPX 8 GB,3200,1 x 8GB,3.124,DDR4,24.99
Corsair CMV8GX4M1A2133C15 8 GB,2133,1 x 8GB,2.373,DDR4,18.98
Patriot Viper Elite II 8 GB,4000,1 x 8GB,2.874,DDR4,22.99
Crucial CT8G4DFS8266 8 GB,2666,1 x 8GB,3.374,DDR4,26.99
TEAMGROUP T-Force Vulcan Z 8 GB,3200,1 x 8GB,3.155,DDR4,25.24
Kingston FURY Renegade 8 GB,4000,1 x 8GB,5.274,DDR4,42.19
Kingston FURY Beast 8 GB,2666,1 x 8GB,3.219,DDR4,25.75
G.Skill Value 8 GB,2666,1 x 8GB,2.411,DDR4,19.29
Corsair Vengeance LPX 16 GB,3200,2 x 8GB,2.624,DDR4,41.99
Corsair Vengeance RGB Pro 16 GB,3200,2 x 8GB,3.437,DDR4,54.99
Silicon Power GAMING 16 GB,3200,2 x 8GB,1.998,DDR4,31.97
Corsair Vengeance LPX 16 GB,3600,2 x 8GB,2.499,DDR4,39.99
TEAMGROUP T-Force Vulcan Z 16 GB,3200,2 x 8GB,2.187,DDR4,34.99
G.Skill Ripjaws V 16 GB,3600,2 x 8GB,3.124,DDR4,49.99
Corsair Vengeance RGB Pro 16 GB,3200,2 x 8GB,3.749,DDR4,59.99
Kingston FURY Beast 16 GB,3200,2 x 8GB,3.002,DDR4,48.03
TEAMGROUP T-Force Delta RGB 16 GB,3600,2 x 8GB,2.874,DDR4,45.99
G.Skill Ripjaws V 16 GB,3200,2 x 8GB,2.374,DDR4,37.99
G.Skill Trident Z RGB 16 GB,3600,2 x 8GB,3.624,DDR4,57.99
Silicon Power SP016GBLFU320B22 16 GB,3200,2 x 8GB,1.999,DDR4,31.99
Silicon Power XPOWER Turbine 16 GB,3200,2 x 8GB,1.936,DDR4,30.97
