Name,Capacity,Price / GB,Type,Cache (MB),Form Factor,Interface,Price
Samsung 980 Pro,2 TB,0.060,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4,119.43
Samsung 990 Pro,2 TB,0.065,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4,129.99
Samsung 980 Pro,1 TB,0.074,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4,73.98
Kingston NV2,1 TB,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,52.00
Seagate Barracuda Compute,2 TB,0.029,7200 RPM,256,"3.5""",SATA 6.0 Gb/s,57.99
Crucial P5 Plus,2 TB,0.052,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4,104.99
Western Digital Black SN850X,2 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,149.99
Crucial P3 Plus,1 TB,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4,48.99
Samsung 870 Evo,1 TB,0.068,SSD,1024,"2.5""",SATA 6.0 Gb/s,67.50
Western Digital Black SN850X,4 TB,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,289.33
Samsung 990 Pro,4 TB,0.070,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4,279.99
Crucial P5 Plus,1 TB,0.054,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4,53.99
Western Digital Black SN770,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,74.98
Crucial P3 Plus,2 TB,0.043,SSD,,M.2-2280,M.2 PCIe 4.0 X4,85.49
Seagate BarraCuda,4 TB,0.019,5400 RPM,256,"3.5""",SATA 6.0 Gb/s,74.99
Samsung 990 Pro,1 TB,0.080,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4,79.98
Samsung 870 Evo,4 TB,0.052,SSD,4096,"2.5""",SATA 6.0 Gb/s,206.56
Western Digital Black SN770,2 TB,0.043,SSD,,M.2-2280,M.2 PCIe 4.0 X4,86.80
Sabrent Rocket 4 Plus,8 TB,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4,999.99
Western Digital Black SN850X,1 TB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,79.98
Kingston NV2,2 TB,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4,111.99
Samsung 870 Evo,2 TB,0.060,SSD,2048,"2.5""",SATA 6.0 Gb/s,119.59
Samsung 870 QVO,8 TB,0.044,SSD,,"2.5""",SATA 6.0 Gb/s,349.99
Western Digital Caviar Blue,1 TB,0.043,7200 RPM,64,"3.5""",SATA 6.0 Gb/s,42.50
Seagate BarraCuda,1 TB,0.049,7200 RPM,64,"3.5""",SATA 6.0 Gb/s,48.96
Western Digital Gold,22 TB,0.025,7200 RPM,512,"3.5""",SATA 6.0 Gb/s,549.99
Kingston KC3000,2.048 TB,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,119.89
Crucial MX500,1 TB,0.046,SSD,1024,"2.5""",SATA 6.0 Gb/s,45.99
Seagate IronWolf Pro NAS,22 TB,0.018,7200 RPM,512,"3.5""",SATA 6.0 Gb/s,389.99
Crucial P3 Plus,4 TB,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,214.99
Solidigm P41 Plus,2 TB,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,106.99
Samsung 980 Pro,500 GB,0.130,SSD,512,M.2-2280,M.2 PCIe 4.0 X4,64.98
Seagate Barracuda Compute,8 TB,0.014,5400 RPM,256,"3.5""",SATA 6.0 Gb/s,109.99
Kingston A400,240 GB,0.114,SSD,,"2.5""",SATA 6.0 Gb/s,27.30
Samsung 870 Evo,500 GB,0.095,SSD,512,"2.5""",SATA 6.0 Gb/s,47.32
Samsung 990 Pro w/Heatsink,2 TB,0.075,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4,149.99
TEAMGROUP MP44L,2 TB,0.044,SSD,,M.2-2280,M.2 PCIe 4.0 X4,87.99
Kingston NV2,500 GB,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,41.99
Western Digital Blue,2 TB,0.027,7200 RPM,256,"3.5""",SATA 6.0 Gb/s,53.99
Kingston KC3000,1.024 TB,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4,65.50
